Applid,Date,ResTime,ColTime,DB2EntryName,AccountRec,ThreadWait,ThreadPrty,CallCount,TwoPCommitCount,AbortCount,OnePCommitCount,ThreadCreate,ThreadReuse,ThreadTerms,ThreadLimit,ThreadHWM,PthreadLimit,PthreadHWM,Readyq,Reuselm,CommitRatio%,ThreadRatio%,PthreadRatio%,TaskTotal
CINAKAA1,04/19/2017,10:00:00,11:00:00,EPTCN,TASK,POOL,EQUAL,4428199,17625,5825,45248,106,68637,106,100,9,80,9,0,46,91.52,9.0,11.25,66705
CINAKAA1,04/19/2017,10:00:00,11:00:00,EPT58,TASK,POOL,EQUAL,278251,2,622,4251,26,4849,26,50,2,50,2,0,0,87.24,4.0,4.0,4863
CINAKAA2,04/19/2017,10:00:00,11:00:00,EPTCN,TASK,POOL,EQUAL,4426401,17763,5768,44795,98,68280,97,100,12,80,12,0,51,91.56,12.0,15.0,66347
CINAKAA2,04/19/2017,10:00:00,11:00:00,EPT58,TASK,POOL,EQUAL,271944,4,619,4138,23,4738,23,50,2,50,2,0,0,87.0,4.0,4.0,4755
CINAKAA3,04/19/2017,10:00:00,11:00:00,EPTCN,TASK,POOL,EQUAL,4418719,17603,5779,45187,98,68523,103,100,8,80,9,0,52,91.57,8.0,11.25,66589
CINAKAA3,04/19/2017,10:00:00,11:00:00,EPT58,TASK,POOL,EQUAL,277423,3,591,4266,26,4834,26,50,2,50,2,0,0,87.84,4.0,4.0,4848
CINAKAA4,04/19/2017,10:00:00,11:00:00,EPTCN,TASK,POOL,EQUAL,4363072,17464,5911,44885,98,68211,99,100,8,80,8,0,48,91.34,8.0,10.0,66291
CINAKAA4,04/19/2017,10:00:00,11:00:00,EPT58,TASK,POOL,EQUAL,274550,1,584,4209,23,4771,24,50,3,50,3,0,0,87.82,6.0,6.0,4782
CINAKAA5,04/19/2017,10:00:00,11:00:00,EPTCN,TASK,POOL,EQUAL,4440924,17829,5691,45329,110,68788,109,100,10,80,10,0,48,91.73,10.0,12.5,66854
CINAKAA5,04/19/2017,10:00:00,11:00:00,EPT58,TASK,POOL,EQUAL,280439,4,583,4303,28,4862,29,50,2,50,2,0,0,88.08,4.0,4.0,4885
CINAKAA6,04/19/2017,10:00:00,11:00:00,EPTCN,TASK,POOL,EQUAL,4414682,17662,5739,45300,118,68631,118,100,11,80,11,0,47,91.65,11.0,13.75,66655
CINAKAA6,04/19/2017,10:00:00,11:00:00,EPT58,TASK,POOL,EQUAL,272958,2,612,4181,27,4768,26,50,3,50,3,0,0,87.24,6.0,6.0,4780
CINAKAA7,04/19/2017,10:00:00,11:00:00,EPTCN,TASK,POOL,EQUAL,4413919,17799,5745,45058,110,68541,112,100,11,80,11,0,47,91.63,11.0,13.75,66622
CINAKAA7,04/19/2017,10:00:00,11:00:00,EPT58,TASK,POOL,EQUAL,266512,1,579,4084,28,4636,27,50,2,50,2,0,0,87.59,4.0,4.0,4657
CINAKAA8,04/19/2017,10:00:00,11:00:00,EPTCN,TASK,POOL,EQUAL,4396086,17749,5794,44872,101,68364,101,100,11,80,11,0,48,91.53,11.0,13.75,66479
CINAKAA8,04/19/2017,10:00:00,11:00:00,EPT58,TASK,POOL,EQUAL,272108,0,614,4170,27,4757,28,50,2,50,2,0,0,87.17,4.0,4.0,4773
