Applid,Date,ResTime,ColTime,DB2Conn,TCBLimit,PkConnWithTCB,PkConnReadyq,PoolPriority,PkPoolTasks,PkPoolReadyq,PkCmdThreads,DB2TCBRatio%
AP15POA1,01/11/2016,06:00:00,08:00:00,BPA0CONN,80,1,0,HIGH,0,0,0,1.25
AP15POA1,01/11/2016,08:00:00,10:00:00,BPA0CONN,80,2,0,HIGH,0,0,0,2.5
AP15POA1,01/11/2016,10:00:00,12:00:00,BPA0CONN,80,2,0,HIGH,0,0,0,2.5
AP15POA1,01/11/2016,12:00:00,14:00:00,BPA0CONN,80,3,0,HIGH,0,0,0,3.75
AP15POA1,01/11/2016,14:00:00,16:00:00,BPA0CONN,80,3,0,HIGH,0,0,0,3.75
AP15POA1,01/11/2016,16:00:00,18:00:00,BPA0CONN,80,2,0,HIGH,0,0,0,2.5
AP15POA1,01/11/2016,18:00:00,20:00:00,BPA0CONN,80,2,0,HIGH,0,0,0,2.5
AP15POA1,01/11/2016,20:00:00,22:00:00,BPA0CONN,80,2,0,HIGH,0,0,0,2.5
AP15POA3,01/11/2016,06:00:00,08:00:00,BPA0CONN,80,1,0,HIGH,0,0,0,1.25
AP15POA3,01/11/2016,08:00:00,10:00:00,BPA0CONN,80,2,0,HIGH,0,0,0,2.5
AP15POA3,01/11/2016,10:00:00,12:00:00,BPA0CONN,80,2,0,HIGH,0,0,0,2.5
AP15POA3,01/11/2016,12:00:00,14:00:00,BPA0CONN,80,2,0,HIGH,0,0,0,2.5
AP15POA3,01/11/2016,14:00:00,16:00:00,BPA0CONN,80,3,0,HIGH,0,0,0,3.75
AP15POA3,01/11/2016,16:00:00,18:00:00,BPA0CONN,80,2,0,HIGH,0,0,0,2.5
AP15POA3,01/11/2016,18:00:00,20:00:00,BPA0CONN,80,2,0,HIGH,0,0,0,2.5
AP15POA3,01/11/2016,20:00:00,22:00:00,BPA0CONN,80,2,0,HIGH,0,0,0,2.5
AP16POA2,01/11/2016,06:00:00,08:00:00,BPA0CONN,80,1,0,HIGH,0,0,0,1.25
AP16POA2,01/11/2016,08:00:00,10:00:00,BPA0CONN,80,3,0,HIGH,0,0,0,3.75
AP16POA2,01/11/2016,10:00:00,12:00:00,BPA0CONN,80,3,0,HIGH,0,0,0,3.75
AP16POA2,01/11/2016,12:00:00,14:00:00,BPA0CONN,80,2,0,HIGH,0,0,0,2.5
AP16POA2,01/11/2016,14:00:00,16:00:00,BPA0CONN,80,3,0,HIGH,0,0,0,3.75
AP16POA2,01/11/2016,16:00:00,18:00:00,BPA0CONN,80,2,0,HIGH,0,0,0,2.5
AP16POA2,01/11/2016,18:00:00,20:00:00,BPA0CONN,80,2,0,HIGH,0,0,0,2.5
AP16POA2,01/11/2016,20:00:00,22:00:00,BPA0CONN,80,2,0,HIGH,0,0,0,2.5
AP16POA4,01/11/2016,06:00:00,08:00:00,BPA0CONN,80,2,0,HIGH,0,0,0,2.5
AP16POA4,01/11/2016,08:00:00,10:00:00,BPA0CONN,80,2,0,HIGH,0,0,0,2.5
AP16POA4,01/11/2016,10:00:00,12:00:00,BPA0CONN,80,2,0,HIGH,0,0,0,2.5
AP16POA4,01/11/2016,12:00:00,14:00:00,BPA0CONN,80,2,0,HIGH,0,0,0,2.5
AP16POA4,01/11/2016,14:00:00,16:00:00,BPA0CONN,80,3,0,HIGH,0,0,0,3.75
