Applid,Date,ResTime,ColTime,DB2EntryName,AccountRec,ThreadWait,ThreadPrty,CallCount,TwoPCommitCount,AbortCount,OnePCommitCount,ThreadCreate,ThreadReuse,ThreadTerms,ThreadLimit,ThreadHWM,PthreadLimit,PthreadHWM,Readyq,Reuselm,CommitRatio%,ThreadRatio%,PthreadRatio%
AP15POA1,01/11/2016,06:00:00,08:00:00,BPA0ENRY,UOW,POOL,HIGH,1136,0,0,140,115,25,115,50,1,10,1,0,0,100.0,2.0,10.0
AP15POA1,01/11/2016,08:00:00,10:00:00,BPA0ENRY,UOW,POOL,HIGH,150239,2,20,2311,70,2263,69,50,2,10,2,0,0,99.14,4.0,20.0
AP15POA1,01/11/2016,10:00:00,12:00:00,BPA0ENRY,UOW,POOL,HIGH,247653,6,56,5393,58,5398,58,50,2,10,2,0,1,98.97,4.0,20.0
AP15POA1,01/11/2016,12:00:00,14:00:00,BPA0ENRY,UOW,POOL,HIGH,141262,2,24,3651,48,3629,49,50,3,10,3,0,0,99.35,6.0,30.0
AP15POA1,01/11/2016,14:00:00,16:00:00,BPA0ENRY,UOW,POOL,HIGH,311937,2,39,4796,56,4781,56,50,3,10,3,0,0,99.19,6.0,30.0
AP15POA1,01/11/2016,16:00:00,18:00:00,BPA0ENRY,UOW,POOL,HIGH,207861,1,42,4374,50,4367,50,50,2,10,2,0,0,99.05,4.0,20.0
AP15POA1,01/11/2016,18:00:00,20:00:00,BPA0ENRY,UOW,POOL,HIGH,154854,2,10,1085,62,1035,62,50,2,10,2,0,0,99.09,4.0,20.0
AP15POA1,01/11/2016,20:00:00,22:00:00,BPA0ENRY,UOW,POOL,HIGH,84901,2,0,319,92,229,92,50,2,10,2,0,0,100.0,4.0,20.0
AP15POA3,01/11/2016,06:00:00,08:00:00,BPA0ENRY,UOW,POOL,HIGH,2360,0,2,144,113,33,112,50,1,10,1,0,0,98.63,2.0,10.0
AP15POA3,01/11/2016,08:00:00,10:00:00,BPA0ENRY,UOW,POOL,HIGH,107814,0,25,2344,66,2303,66,50,2,10,2,0,0,98.94,4.0,20.0
AP15POA3,01/11/2016,10:00:00,12:00:00,BPA0ENRY,UOW,POOL,HIGH,175319,7,40,5169,58,5159,57,50,2,10,2,0,1,99.23,4.0,20.0
AP15POA3,01/11/2016,12:00:00,14:00:00,BPA0ENRY,UOW,POOL,HIGH,226397,0,24,3698,54,3668,54,50,2,10,2,0,0,99.36,4.0,20.0
AP15POA3,01/11/2016,14:00:00,16:00:00,BPA0ENRY,UOW,POOL,HIGH,160201,0,21,4453,51,4423,52,50,3,10,3,0,0,99.53,6.0,30.0
AP15POA3,01/11/2016,16:00:00,18:00:00,BPA0ENRY,UOW,POOL,HIGH,211896,5,37,4255,46,4252,46,50,2,10,2,0,1,99.14,4.0,20.0
AP15POA3,01/11/2016,18:00:00,20:00:00,BPA0ENRY,UOW,POOL,HIGH,55827,2,9,1102,52,1061,52,50,2,10,2,0,0,99.19,4.0,20.0
AP15POA3,01/11/2016,20:00:00,22:00:00,BPA0ENRY,UOW,POOL,HIGH,25116,0,2,280,99,183,99,50,2,10,2,0,0,99.29,4.0,20.0
AP16POA2,01/11/2016,06:00:00,08:00:00,BPA0ENRY,UOW,POOL,HIGH,2493,0,1,148,120,29,120,50,1,10,1,0,0,99.33,2.0,10.0
AP16POA2,01/11/2016,08:00:00,10:00:00,BPA0ENRY,UOW,POOL,HIGH,2086194,2,16,2330,66,2282,65,50,3,10,3,0,0,99.32,6.0,30.0
AP16POA2,01/11/2016,10:00:00,12:00:00,BPA0ENRY,UOW,POOL,HIGH,254042,1,55,5293,58,5291,59,50,3,10,3,0,0,98.97,6.0,30.0
AP16POA2,01/11/2016,12:00:00,14:00:00,BPA0ENRY,UOW,POOL,HIGH,149027,2,41,3874,51,3867,50,50,2,10,2,0,0,98.95,4.0,20.0
AP16POA2,01/11/2016,14:00:00,16:00:00,BPA0ENRY,UOW,POOL,HIGH,211156,1,38,4619,52,4605,53,50,3,10,3,0,0,99.18,6.0,30.0
AP16POA2,01/11/2016,16:00:00,18:00:00,BPA0ENRY,UOW,POOL,HIGH,207005,0,31,4328,44,4315,44,50,2,10,2,0,0,99.29,4.0,20.0
AP16POA2,01/11/2016,18:00:00,20:00:00,BPA0ENRY,UOW,POOL,HIGH,122143,1,13,1080,56,1038,56,50,2,10,2,0,0,98.81,4.0,20.0
AP16POA2,01/11/2016,20:00:00,22:00:00,BPA0ENRY,UOW,POOL,HIGH,42956,0,0,300,91,209,92,50,2,10,2,0,0,100.0,4.0,20.0
AP16POA4,01/11/2016,06:00:00,08:00:00,BPA0ENRY,UOW,POOL,HIGH,860,0,1,136,119,18,119,50,1,10,1,0,0,99.27,2.0,10.0
AP16POA4,01/11/2016,08:00:00,10:00:00,BPA0ENRY,UOW,POOL,HIGH,219914,2,20,2283,63,2242,62,50,2,10,2,0,0,99.13,4.0,20.0
AP16POA4,01/11/2016,10:00:00,12:00:00,BPA0ENRY,UOW,POOL,HIGH,208586,4,44,5235,59,5224,59,50,2,10,2,0,0,99.17,4.0,20.0
AP16POA4,01/11/2016,12:00:00,14:00:00,BPA0ENRY,UOW,POOL,HIGH,112690,0,29,3540,44,3525,44,50,2,10,2,0,0,99.19,4.0,20.0
