Applid,Date,ResTime,ColTime,ASCPU,ASSRB,ICV,ICVR,QRCPU,QRDsp,QRCPUUtilRatio%,QRDispUtilRatio%,QRDispRatio%,L8CPU,L8Dsp,L8CPUUtilRatio%,L8DispUtilRatio%,L8DispRatio%,ASTCBUtilRatio%,ASSRBCPUUtilRatio%,CPUPerUsrTran,PkOpTCB,MAXOpTCB,OpTCBRatio%
AP15POA1,01/11/2016,06:00:00,08:00:00,00:00:02.978746,00:00:00.104316,10000,500,00:00:02.619746,00:00:03.063698,0.04,0.04,85.51,00:00:00.312186,00:00:00.457466,0.00,0.01,68.24,0.04,0.00,0.102769,3,432,0.69
AP15POA1,01/11/2016,08:00:00,10:00:00,00:00:28.478749,00:00:00.127479,10000,500,00:00:04.778112,00:00:05.860010,0.07,0.08,81.54,00:00:23.361487,00:00:38.460564,0.32,0.53,60.74,0.40,0.00,0.013207,8,432,1.85
AP15POA1,01/11/2016,10:00:00,12:00:00,00:01:05.580359,00:00:00.160579,10000,500,00:00:08.143326,00:00:09.646270,0.11,0.13,84.42,00:00:56.649170,00:01:35.416040,0.79,1.33,59.37,0.91,0.00,0.012721,10,432,2.31
AP15POA1,01/11/2016,12:00:00,14:00:00,00:00:39.742736,00:00:00.141564,10000,500,00:00:06.601423,00:00:08.150228,0.09,0.11,81.00,00:00:32.608480,00:00:54.096275,0.45,0.75,60.28,0.55,0.00,0.011514,10,432,2.31
AP15POA1,01/11/2016,14:00:00,16:00:00,00:01:03.705091,00:00:00.167441,10000,500,00:00:07.542731,00:00:09.252342,0.10,0.13,81.52,00:00:55.464646,00:01:32.227450,0.77,1.28,60.14,0.88,0.00,0.013876,9,432,2.08
AP15POA1,01/11/2016,16:00:00,18:00:00,00:00:52.718636,00:00:00.159099,10000,500,00:00:07.651063,00:00:09.144794,0.11,0.13,83.67,00:00:44.408693,00:01:21.249781,0.62,1.13,54.66,0.73,0.00,0.012605,9,432,2.08
AP15POA1,01/11/2016,18:00:00,20:00:00,00:00:30.632955,00:00:00.130963,10000,500,00:00:04.332805,00:00:05.462371,0.06,0.08,79.32,00:00:26.113081,00:02:03.438697,0.36,1.71,21.15,0.43,0.00,0.031748,8,432,1.85
AP15POA1,01/11/2016,20:00:00,22:00:00,00:00:10.882627,00:00:00.117512,10000,500,00:00:02.976597,00:00:03.588323,0.04,0.05,82.95,00:00:07.849127,00:00:12.306090,0.11,0.17,63.78,0.15,0.00,0.055001,5,432,1.16
AP15POA3,01/11/2016,06:00:00,08:00:00,00:00:03.129551,00:00:00.107898,10000,500,00:00:02.657454,00:00:03.422251,0.04,0.05,77.65,00:00:00.424286,00:00:02.132642,0.01,0.03,19.89,0.04,0.00,0.095219,3,432,0.69
AP15POA3,01/11/2016,08:00:00,10:00:00,00:00:26.433166,00:00:00.132513,10000,500,00:00:04.814809,00:00:06.195611,0.07,0.09,77.71,00:00:21.277321,00:00:36.240658,0.30,0.50,58.71,0.37,0.00,0.012081,9,432,2.08
