Applid,Date,ResTime,ColTime,NOSPACETms,PutqIntraReqs,GetqIntraReqs,IntraBuffers,PeakIntraBuffData,BufferWait,StringNum,StringWait
AP15POA1,01/11/2016,06:00:00,08:00:00,0,0,0,12,0,0,10,0
AP15POA1,01/11/2016,08:00:00,10:00:00,0,0,0,12,1,0,10,0
AP15POA1,01/11/2016,10:00:00,12:00:00,0,0,0,12,1,0,10,0
AP15POA1,01/11/2016,12:00:00,14:00:00,0,0,0,12,1,0,10,0
AP15POA1,01/11/2016,14:00:00,16:00:00,0,0,0,12,1,0,10,0
AP15POA1,01/11/2016,16:00:00,18:00:00,0,0,0,12,1,0,10,0
AP15POA1,01/11/2016,18:00:00,20:00:00,0,0,0,12,1,0,10,0
AP15POA1,01/11/2016,20:00:00,22:00:00,0,0,0,12,1,0,10,0
AP15POA3,01/11/2016,06:00:00,08:00:00,0,0,0,12,0,0,10,0
AP15POA3,01/11/2016,08:00:00,10:00:00,0,0,0,12,1,0,10,0
AP15POA3,01/11/2016,10:00:00,12:00:00,0,0,0,12,2,0,10,0
AP15POA3,01/11/2016,12:00:00,14:00:00,0,0,0,12,1,0,10,0
AP15POA3,01/11/2016,14:00:00,16:00:00,0,0,0,12,1,0,10,0
AP15POA3,01/11/2016,16:00:00,18:00:00,0,0,0,12,1,0,10,0
AP15POA3,01/11/2016,18:00:00,20:00:00,0,0,0,12,1,0,10,0
AP15POA3,01/11/2016,20:00:00,22:00:00,0,0,0,12,0,0,10,0
AP16POA2,01/11/2016,06:00:00,08:00:00,0,0,0,12,0,0,10,0
AP16POA2,01/11/2016,08:00:00,10:00:00,0,0,0,12,1,0,10,0
AP16POA2,01/11/2016,10:00:00,12:00:00,0,0,0,12,2,0,10,0
AP16POA2,01/11/2016,12:00:00,14:00:00,0,0,0,12,1,0,10,0
AP16POA2,01/11/2016,14:00:00,16:00:00,0,0,0,12,1,0,10,0
AP16POA2,01/11/2016,16:00:00,18:00:00,0,0,0,12,1,0,10,0
AP16POA2,01/11/2016,18:00:00,20:00:00,0,0,0,12,1,0,10,0
AP16POA2,01/11/2016,20:00:00,22:00:00,0,0,0,12,0,0,10,0
AP16POA4,01/11/2016,06:00:00,08:00:00,0,0,0,12,0,0,10,0
AP16POA4,01/11/2016,08:00:00,10:00:00,0,0,0,12,1,0,10,0
AP16POA4,01/11/2016,10:00:00,12:00:00,0,0,0,12,1,0,10,0
AP16POA4,01/11/2016,12:00:00,14:00:00,0,0,0,12,1,0,10,0
AP16POA4,01/11/2016,14:00:00,16:00:00,0,0,0,12,1,0,10,0
AP16POA4,01/11/2016,16:00:00,18:00:00,0,0,0,12,1,0,10,0
AP16POA4,01/11/2016,18:00:00,20:00:00,0,0,0,12,1,0,10,0
AP16POA4,01/11/2016,20:00:00,22:00:00,0,0,0,12,1,0,10,0
BP15PAAA,01/11/2016,06:00:00,08:00:00,0,769,0,500,2,0,255,0
BP15PAAA,01/11/2016,08:00:00,10:00:00,0,6606,0,500,2,0,255,0
BP15PAAA,01/11/2016,10:00:00,12:00:00,0,12303,0,500,2,0,255,0
BP15PAAA,01/11/2016,12:00:00,14:00:00,0,10888,0,500,2,0,255,0
BP15PAAA,01/11/2016,14:00:00,16:00:00,0,11414,0,500,2,0,255,0
BP15PAAA,01/11/2016,16:00:00,18:00:00,0,10201,0,500,2,0,255,0
BP15PAAA,01/11/2016,18:00:00,20:00:00,0,7145,0,500,2,0,255,0
BP15PAAA,01/11/2016,20:00:00,22:00:00,0,6258,0,500,2,0,255,0
BP15PAAE,01/11/2016,06:00:00,08:00:00,0,780,0,500,2,0,255,0
BP15PAAE,01/11/2016,08:00:00,10:00:00,0,6544,0,500,2,0,255,0
BP15PAAE,01/11/2016,10:00:00,12:00:00,0,12310,0,500,2,0,255,0
BP15PAAE,01/11/2016,12:00:00,14:00:00,0,10799,0,500,2,0,255,0
BP15PAAE,01/11/2016,14:00:00,16:00:00,0,11395,0,500,2,0,255,0
BP15PAAE,01/11/2016,16:00:00,18:00:00,0,10056,0,500,2,0,255,0
BP15PAAE,01/11/2016,18:00:00,20:00:00,0,7309,0,500,2,0,255,0
BP15PAAE,01/11/2016,20:00:00,22:00:00,0,6114,0,500,2,0,255,0
BP15PAA1,01/11/2016,06:00:00,08:00:00,0,762,0,500,2,0,255,0
BP15PAA1,01/11/2016,08:00:00,10:00:00,0,6649,0,500,2,0,255,0
BP15PAA1,01/11/2016,10:00:00,12:00:00,0,12465,0,500,2,0,255,0
BP15PAA1,01/11/2016,12:00:00,14:00:00,0,11052,0,500,2,0,255,0
BP15PAA1,01/11/2016,14:00:00,16:00:00,0,11484,0,500,2,0,255,0
BP15PAA1,01/11/2016,16:00:00,18:00:00,0,10112,0,500,2,0,255,0
BP15PAA1,01/11/2016,18:00:00,20:00:00,0,7268,0,500,2,0,255,0
BP15PAA1,01/11/2016,20:00:00,22:00:00,0,6183,0,500,2,0,255,0
BP15PAA5,01/11/2016,06:00:00,08:00:00,0,704,0,500,2,0,255,0
BP15PAA5,01/11/2016,08:00:00,10:00:00,0,6637,0,500,2,0,255,0
BP15PAA5,01/11/2016,10:00:00,12:00:00,0,12378,0,500,2,0,255,0
BP15PAA5,01/11/2016,12:00:00,14:00:00,0,10632,0,500,2,0,255,0
BP15PAA5,01/11/2016,14:00:00,16:00:00,0,11353,0,500,2,0,255,0
BP15PAA5,01/11/2016,16:00:00,18:00:00,0,10036,0,500,2,0,255,0
