Applid,Date,ResTime,ColTime,ENQPoolName,ENQIssd,ENQWtd,ENQWTT,ENQSysWtd,ENQSysWtT,ENQRtnd,ENQRtnT,ImmRejEqBsy,ImmRejEqRtn,WtRejRtn,WtRejOp,WtRejTo,ENQBusyRatio%,ENQWttRatio%,ENQRetRatio%,ENQImmRetRatio%,ENQImmSuccessRatio%
AP15POA1,01/11/2016,06:00:00,08:00:00,*TOTALS*,3840,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
AP15POA1,01/11/2016,08:00:00,10:00:00,*TOTALS*,3767,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
AP15POA1,01/11/2016,10:00:00,12:00:00,*TOTALS*,3942,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
AP15POA1,01/11/2016,12:00:00,14:00:00,*TOTALS*,3841,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
AP15POA1,01/11/2016,14:00:00,16:00:00,*TOTALS*,3809,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
AP15POA1,01/11/2016,16:00:00,18:00:00,*TOTALS*,3871,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
AP15POA1,01/11/2016,18:00:00,20:00:00,*TOTALS*,3869,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
AP15POA1,01/11/2016,20:00:00,22:00:00,*TOTALS*,3846,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
AP15POA3,01/11/2016,06:00:00,08:00:00,*TOTALS*,3839,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
AP15POA3,01/11/2016,08:00:00,10:00:00,*TOTALS*,3768,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
AP15POA3,01/11/2016,10:00:00,12:00:00,*TOTALS*,3974,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
AP15POA3,01/11/2016,12:00:00,14:00:00,*TOTALS*,3841,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
AP15POA3,01/11/2016,14:00:00,16:00:00,*TOTALS*,3809,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
AP15POA3,01/11/2016,16:00:00,18:00:00,*TOTALS*,3966,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
AP15POA3,01/11/2016,18:00:00,20:00:00,*TOTALS*,3880,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
AP15POA3,01/11/2016,20:00:00,22:00:00,*TOTALS*,3846,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
AP16POA2,01/11/2016,06:00:00,08:00:00,*TOTALS*,3764,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
AP16POA2,01/11/2016,08:00:00,10:00:00,*TOTALS*,3741,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
AP16POA2,01/11/2016,10:00:00,12:00:00,*TOTALS*,3821,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
AP16POA2,01/11/2016,12:00:00,14:00:00,*TOTALS*,3747,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
AP16POA2,01/11/2016,14:00:00,16:00:00,*TOTALS*,3822,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
AP16POA2,01/11/2016,16:00:00,18:00:00,*TOTALS*,3801,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
AP16POA2,01/11/2016,18:00:00,20:00:00,*TOTALS*,3837,1,00:00:00.006,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.03,0.0,0.0,99.97
AP16POA2,01/11/2016,20:00:00,22:00:00,*TOTALS*,3837,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
AP16POA4,01/11/2016,06:00:00,08:00:00,*TOTALS*,3764,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
AP16POA4,01/11/2016,08:00:00,10:00:00,*TOTALS*,3742,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
AP16POA4,01/11/2016,10:00:00,12:00:00,*TOTALS*,3853,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
AP16POA4,01/11/2016,12:00:00,14:00:00,*TOTALS*,3747,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
AP16POA4,01/11/2016,14:00:00,16:00:00,*TOTALS*,3831,0,00:00:00.000,0,00:00:00.000,0,000-00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0
