Applid,Date,ResTime,ColTime,DFHLOG,DASDOnly,AKPFREQ,AKPTaken,LGDFINT,WriteReq,ByteWritten,BufAppend,WaitFullBuf,PkForceWts,RetryError,ShuntWriteRequest
AP15POA1,01/11/2016,06:00:00,08:00:00,CICS.AP15POA1.DFHLOG,Yes,4000,0,5,0,0,0,0,0,0,0
AP15POA1,01/11/2016,08:00:00,10:00:00,CICS.AP15POA1.DFHLOG,Yes,4000,1,5,108,34223,180,0,0,0,0
AP15POA1,01/11/2016,10:00:00,12:00:00,CICS.AP15POA1.DFHLOG,Yes,4000,0,5,302,110084,504,0,0,0,0
AP15POA1,01/11/2016,12:00:00,14:00:00,CICS.AP15POA1.DFHLOG,Yes,4000,0,5,129,40530,214,0,0,0,0
AP15POA1,01/11/2016,14:00:00,16:00:00,CICS.AP15POA1.DFHLOG,Yes,4000,0,5,206,63404,338,0,0,0,0
AP15POA1,01/11/2016,16:00:00,18:00:00,CICS.AP15POA1.DFHLOG,Yes,4000,0,5,218,70430,354,0,0,0,0
AP15POA1,01/11/2016,18:00:00,20:00:00,CICS.AP15POA1.DFHLOG,Yes,4000,0,5,54,27456,92,0,0,0,0
AP15POA1,01/11/2016,20:00:00,22:00:00,CICS.AP15POA1.DFHLOG,Yes,4000,0,5,4,2930,12,0,0,0,0
AP15POA3,01/11/2016,06:00:00,08:00:00,CICS.AP15POA3.DFHLOG,Yes,4000,0,5,10,2980,16,0,0,0,0
AP15POA3,01/11/2016,08:00:00,10:00:00,CICS.AP15POA3.DFHLOG,Yes,4000,0,5,129,38298,208,0,0,0,0
AP15POA3,01/11/2016,10:00:00,12:00:00,CICS.AP15POA3.DFHLOG,Yes,4000,1,5,224,92437,382,0,0,0,0
AP15POA3,01/11/2016,12:00:00,14:00:00,CICS.AP15POA3.DFHLOG,Yes,4000,0,5,127,37594,206,0,0,0,0
AP15POA3,01/11/2016,14:00:00,16:00:00,CICS.AP15POA3.DFHLOG,Yes,4000,0,5,109,32338,176,0,0,0,0
AP15POA3,01/11/2016,16:00:00,18:00:00,CICS.AP15POA3.DFHLOG,Yes,4000,0,5,202,88354,340,0,0,0,0
AP15POA3,01/11/2016,18:00:00,20:00:00,CICS.AP15POA3.DFHLOG,Yes,4000,0,5,49,25966,84,0,0,0,0
AP15POA3,01/11/2016,20:00:00,22:00:00,CICS.AP15POA3.DFHLOG,Yes,4000,0,5,10,2980,16,0,0,0,0
AP16POA2,01/11/2016,06:00:00,08:00:00,CICS.AP16POA2.DFHLOG,Yes,4000,0,5,5,1490,8,0,0,0,0
AP16POA2,01/11/2016,08:00:00,10:00:00,CICS.AP16POA2.DFHLOG,Yes,4000,0,5,84,27300,140,0,0,0,0
AP16POA2,01/11/2016,10:00:00,12:00:00,CICS.AP16POA2.DFHLOG,Yes,4000,0,5,288,91110,468,0,0,0,0
AP16POA2,01/11/2016,12:00:00,14:00:00,CICS.AP16POA2.DFHLOG,Yes,4000,0,5,219,67170,360,0,0,0,0
