Applid,Date,ResTime,ColTime,PutqMainReqs,GetqMainReqs,TSMAINLIMIT,TSMAINLIMITTms,PeakUsedTSMAIN,TSMAINLIMITRatio%,AutoDelTSQs,PutqAuxReqs,GetqAuxReqs,QueueCreTms,CISize,WriteMTCI,LongestRec,AuxStgExh,TSCompress,BufferWait,StringWait,IOErrorTSQDS,GetqShareReqs,PutqShareReqs
AP15POA1,01/11/2016,06:00:00,08:00:00,0,20,67108864,0,28,0.0000,0,10,10,10,4096,0,754,0,0,0,0,0,4,6
AP15POA1,01/11/2016,08:00:00,10:00:00,0,2195,67108864,0,28,0.0000,0,1133,1133,1058,4096,0,2761,0,0,0,0,0,1674,2472
AP15POA1,01/11/2016,10:00:00,12:00:00,0,5279,67108864,0,28,0.0000,0,2781,2769,2513,4096,7,7469,0,0,0,0,0,2996,4789
AP15POA1,01/11/2016,12:00:00,14:00:00,0,3535,67108864,0,28,0.0000,0,1834,1834,1694,4096,0,3168,0,0,0,0,0,1885,2247
AP15POA1,01/11/2016,14:00:00,16:00:00,0,4678,67108864,0,28,0.0000,0,2440,2431,2250,4096,5,7469,0,0,0,0,0,2430,2849
AP15POA1,01/11/2016,16:00:00,18:00:00,0,4255,67108864,0,28,0.0000,0,2216,2210,2050,4096,9,7935,0,0,0,0,0,3399,4083
AP15POA1,01/11/2016,18:00:00,20:00:00,0,966,67108864,0,28,0.0000,0,490,490,481,4096,4,7935,0,0,0,0,0,1671,2333
AP15POA1,01/11/2016,20:00:00,22:00:00,0,203,67108864,0,28,0.0000,0,100,100,99,4096,1,7935,0,0,0,0,0,410,822
AP15POA3,01/11/2016,06:00:00,08:00:00,0,24,67108864,0,30,0.0000,0,12,12,12,4096,0,754,0,0,0,0,0,15,18
AP15POA3,01/11/2016,08:00:00,10:00:00,0,2224,67108864,0,30,0.0000,0,1147,1147,1077,4096,0,2874,0,0,0,0,0,1799,2619
AP15POA3,01/11/2016,10:00:00,12:00:00,0,5054,67108864,0,30,0.0000,0,2628,2622,2436,4096,9,7469,0,0,0,0,0,2783,3299
AP15POA3,01/11/2016,12:00:00,14:00:00,0,3578,67108864,0,30,0.0000,0,1851,1848,1730,4096,2,7469,0,0,0,0,0,1953,2245
AP15POA3,01/11/2016,14:00:00,16:00:00,0,4331,67108864,0,30,0.0000,0,2251,2249,2088,4096,1,7469,0,0,0,0,0,2536,3189
AP15POA3,01/11/2016,16:00:00,18:00:00,0,4136,67108864,0,30,0.0000,0,2145,2142,2006,4096,12,7935,0,0,0,0,0,3343,4644
AP15POA3,01/11/2016,18:00:00,20:00:00,0,983,67108864,0,30,0.0000,0,497,497,491,4096,4,7935,0,0,0,0,0,1502,1765
AP15POA3,01/11/2016,20:00:00,22:00:00,0,160,67108864,0,30,0.0000,0,80,80,80,4096,1,7935,0,0,0,0,0,172,184
AP16POA2,01/11/2016,06:00:00,08:00:00,0,28,67108864,0,28,0.0000,0,14,14,14,4096,0,754,0,0,0,0,0,17,201
AP16POA2,01/11/2016,08:00:00,10:00:00,0,2214,67108864,0,28,0.0000,0,1131,1131,1076,4096,0,2797,0,0,0,0,0,1838,2485
AP16POA2,01/11/2016,10:00:00,12:00:00,0,5173,67108864,0,28,0.0000,0,2708,2697,2482,4096,5,7469,0,0,0,0,0,2679,3384
AP16POA2,01/11/2016,12:00:00,14:00:00,0,3758,67108864,0,28,0.0000,0,1968,1962,1795,4096,0,3491,0,0,0,0,0,2018,2985
AP16POA2,01/11/2016,14:00:00,16:00:00,0,4498,67108864,0,28,0.0000,0,2355,2346,2160,4096,3,7469,0,1,0,0,0,2216,2601
AP16POA2,01/11/2016,16:00:00,18:00:00,0,4209,67108864,0,28,0.0000,0,2193,2190,2020,4096,12,7935,0,0,0,0,0,3141,3765
AP16POA2,01/11/2016,18:00:00,20:00:00,0,961,67108864,0,28,0.0000,0,491,491,473,4096,2,7935,0,0,0,0,0,1473,1575
AP16POA2,01/11/2016,20:00:00,22:00:00,0,180,67108864,0,28,0.0000,0,90,90,90,4096,0,1421,0,0,0,0,0,313,296
AP16POA4,01/11/2016,06:00:00,08:00:00,0,16,67108864,0,28,0.0000,0,8,8,8,4096,0,754,0,0,0,0,0,6,8
AP16POA4,01/11/2016,08:00:00,10:00:00,0,2167,67108864,0,28,0.0000,0,1112,1112,1051,4096,1,7962,0,0,0,0,0,1798,3579
AP16POA4,01/11/2016,10:00:00,12:00:00,0,5119,67108864,0,28,0.0000,0,2670,2667,2451,4096,3,7469,0,0,0,0,0,2884,3043
AP16POA4,01/11/2016,12:00:00,14:00:00,0,3421,67108864,0,28,0.0000,0,1798,1791,1634,4096,1,7469,0,0,0,0,0,2088,3145
AP16POA4,01/11/2016,14:00:00,16:00:00,0,4573,67108864,0,28,0.0000,0,2386,2385,2199,4096,6,6869,0,0,0,0,0,2111,2478
AP16POA4,01/11/2016,16:00:00,18:00:00,0,4128,67108864,0,28,0.0000,0,2121,2112,2017,4096,10,7935,0,0,0,0,0,3192,4176
AP16POA4,01/11/2016,18:00:00,20:00:00,0,987,67108864,0,28,0.0000,0,497,497,493,4096,8,7935,0,0,0,0,0,1709,2485
AP16POA4,01/11/2016,20:00:00,22:00:00,0,187,67108864,0,28,0.0000,0,95,95,90,4096,1,4981,0,0,0,0,0,294,924
BP15PAAA,01/11/2016,06:00:00,08:00:00,0,13098,5242880,0,470,0.0090,0,8123,7246,7245,8192,191,8870,0,5,0,0,0,573,895
BP15PAAA,01/11/2016,08:00:00,10:00:00,0,133016,5242880,0,470,0.0090,2,72990,70874,70937,8192,55,8870,0,173,2,0,0,23993,31848
BP15PAAA,01/11/2016,10:00:00,12:00:00,0,228384,5242880,0,470,0.0090,1,122334,118620,118880,8192,104,9411,0,489,6,0,0,32475,49066
BP15PAAA,01/11/2016,12:00:00,14:00:00,58,183059,5242880,0,470,0.0090,5,100878,95852,96089,8192,26,9411,0,313,6,0,0,22771,31497
BP15PAAA,01/11/2016,14:00:00,16:00:00,98,223093,5242880,0,470,0.0090,3,119901,116654,116870,8192,77,9411,0,519,3,0,0,32705,51090
BP15PAAA,01/11/2016,16:00:00,18:00:00,0,195201,5242880,0,470,0.0090,1,107974,103193,103356,8192,197,8870,0,477,6,0,0,42050,67075
BP15PAAA,01/11/2016,18:00:00,20:00:00,0,117922,5242880,0,470,0.0090,5,65746,63408,63402,8192,228,8870,0,257,0,0,0,31705,51324
BP15PAAA,01/11/2016,20:00:00,22:00:00,0,93876,5242880,0,470,0.0090,1,52746,49825,49816,8192,10,8545,0,154,1,0,0,15435,29123
BP15PAAE,01/11/2016,06:00:00,08:00:00,0,13282,5242880,0,470,0.0090,0,7333,7333,7333,8192,177,8870,0,0,0,0,0,567,1171
BP15PAAE,01/11/2016,08:00:00,10:00:00,0,133296,5242880,0,470,0.0090,0,72807,71035,71114,8192,39,8870,0,248,5,0,0,23056,34004
BP15PAAE,01/11/2016,10:00:00,12:00:00,0,229212,5242880,0,470,0.0090,4,124119,119435,119624,8192,86,8870,0,623,5,0,0,33026,46870
BP15PAAE,01/11/2016,12:00:00,14:00:00,58,182801,5242880,0,470,0.0090,2,98786,95670,95887,8192,22,8870,0,336,8,0,0,22292,27759
BP15PAAE,01/11/2016,14:00:00,16:00:00,98,223136,5242880,0,470,0.0090,2,120717,116680,116972,8192,92,8870,0,581,5,0,0,33859,51354
BP15PAAE,01/11/2016,16:00:00,18:00:00,0,194469,5242880,0,470,0.0090,1,108912,103008,103181,8192,215,9411,0,434,2,0,0,41535,62391
BP15PAAE,01/11/2016,18:00:00,20:00:00,0,117608,5242880,0,470,0.0090,1,66943,63499,63491,8192,238,8870,0,219,0,0,0,33507,58047
BP15PAAE,01/11/2016,20:00:00,22:00:00,0,92322,5242880,0,470,0.0090,3,51123,49078,49072,8192,9,8545,0,145,0,0,0,16274,33459
BP15PAA1,01/11/2016,06:00:00,08:00:00,0,13287,5242880,0,468,0.0089,0,7400,7400,7400,8192,184,8870,0,0,0,0,0,539,615
BP15PAA1,01/11/2016,08:00:00,10:00:00,0,132622,5242880,0,468,0.0089,0,74686,70776,70844,8192,44,8870,0,327,2,0,0,22666,34260
BP15PAA1,01/11/2016,10:00:00,12:00:00,0,229677,5242880,0,468,0.0089,2,123361,119505,119712,8192,119,9411,0,692,5,0,0,34227,47945
BP15PAA1,01/11/2016,12:00:00,14:00:00,58,182889,5242880,0,468,0.0089,2,98725,95592,95859,8192,18,8870,0,398,5,0,0,22259,30151
BP15PAA1,01/11/2016,14:00:00,16:00:00,98,222562,5242880,0,468,0.0089,2,120291,116263,116477,8192,79,9411,0,438,3,0,0,32776,52696
BP15PAA1,01/11/2016,16:00:00,18:00:00,0,195516,5242880,0,468,0.0089,2,105445,103344,103522,8192,225,8870,0,467,5,0,0,41980,65064
BP15PAA1,01/11/2016,18:00:00,20:00:00,0,117273,5242880,0,468,0.0089,2,65744,63176,63172,8192,239,8870,0,222,1,0,0,32109,50688
BP15PAA1,01/11/2016,20:00:00,22:00:00,0,93085,5242880,0,468,0.0089,5,52605,49489,49478,8192,9,8870,0,136,1,0,0,16228,36922
BP15PAA5,01/11/2016,06:00:00,08:00:00,0,12939,5242880,0,468,0.0089,0,7737,7152,7152,8192,204,8870,0,1,0,0,0,512,516
BP15PAA5,01/11/2016,08:00:00,10:00:00,0,133298,5242880,0,468,0.0089,2,72707,70913,70981,8192,44,8870,0,268,1,0,0,23048,32774
BP15PAA5,01/11/2016,10:00:00,12:00:00,0,228964,5242880,0,468,0.0089,1,125217,119066,119310,8192,81,8870,0,666,12,0,0,31991,44667
BP15PAA5,01/11/2016,12:00:00,14:00:00,58,182372,5242880,0,468,0.0089,2,100930,95346,95521,8192,25,9411,0,464,2,0,0,22861,30709
BP15PAA5,01/11/2016,14:00:00,16:00:00,98,222227,5242880,0,468,0.0089,4,119934,116091,116318,8192,79,8870,0,475,9,0,0,33320,53030
BP15PAA5,01/11/2016,16:00:00,18:00:00,0,194927,5242880,0,468,0.0089,2,106283,103027,103193,8192,236,8870,0,346,6,0,0,43481,66714
BP15PAA5,01/11/2016,18:00:00,20:00:00,0,118232,5242880,0,468,0.0089,2,66271,63638,63634,8192,230,8870,0,202,2,0,0,32443,48359
BP15PAA5,01/11/2016,20:00:00,22:00:00,0,92470,5242880,0,468,0.0089,2,52313,49101,49090,8192,10,8545,0,150,0,0,0,14965,33530
