Applid,Date,ResTime,ColTime,TotTran,MXT,MXTTimeRch,PkQued,PkActv,TotlActUsr,TotlDly,MXTRatio%
AP15POA1,01/11/2016,06:00:00,08:00:00,30,200,0,0,11,30,0,5.50
AP15POA1,01/11/2016,08:00:00,10:00:00,2168,200,0,0,16,2166,0,8.00
AP15POA1,01/11/2016,10:00:00,12:00:00,5175,200,0,0,19,5168,0,9.50
AP15POA1,01/11/2016,12:00:00,14:00:00,3471,200,0,0,17,3464,0,8.50
AP15POA1,01/11/2016,14:00:00,16:00:00,4610,200,0,0,17,4603,0,8.50
AP15POA1,01/11/2016,16:00:00,18:00:00,4200,200,0,0,18,4195,0,9.00
AP15POA1,01/11/2016,18:00:00,20:00:00,970,200,0,0,13,969,0,6.50
AP15POA1,01/11/2016,20:00:00,22:00:00,200,200,0,0,12,200,0,6.00
AP15POA3,01/11/2016,06:00:00,08:00:00,34,200,0,0,11,34,0,5.50
AP15POA3,01/11/2016,08:00:00,10:00:00,2201,200,0,0,16,2199,0,8.00
AP15POA3,01/11/2016,10:00:00,12:00:00,4960,200,0,0,19,4950,0,9.50
AP15POA3,01/11/2016,12:00:00,14:00:00,3520,200,0,0,17,3520,0,8.50
AP15POA3,01/11/2016,14:00:00,16:00:00,4268,200,0,0,17,4261,0,8.50
AP15POA3,01/11/2016,16:00:00,18:00:00,4084,200,0,0,16,4079,0,8.00
AP15POA3,01/11/2016,18:00:00,20:00:00,985,200,0,0,13,983,0,6.50
AP15POA3,01/11/2016,20:00:00,22:00:00,164,200,0,0,12,164,0,6.00
AP16POA2,01/11/2016,06:00:00,08:00:00,38,200,0,0,11,38,0,5.50
AP16POA2,01/11/2016,08:00:00,10:00:00,2184,200,0,0,16,2183,0,8.00
AP16POA2,01/11/2016,10:00:00,12:00:00,5085,200,0,0,22,5074,0,11.00
AP16POA2,01/11/2016,12:00:00,14:00:00,3698,200,0,0,17,3691,0,8.50
AP16POA2,01/11/2016,14:00:00,16:00:00,4419,200,0,0,17,4415,0,8.50
AP16POA2,01/11/2016,16:00:00,18:00:00,4152,200,0,0,18,4146,0,9.00
AP16POA2,01/11/2016,18:00:00,20:00:00,961,200,0,0,17,961,0,8.50
AP16POA2,01/11/2016,20:00:00,22:00:00,186,200,0,0,11,186,0,5.50
AP16POA4,01/11/2016,06:00:00,08:00:00,26,200,0,0,11,26,0,5.50
AP16POA4,01/11/2016,08:00:00,10:00:00,2148,200,0,0,17,2142,0,8.50
AP16POA4,01/11/2016,10:00:00,12:00:00,5020,200,0,0,17,5015,0,8.50
AP16POA4,01/11/2016,12:00:00,14:00:00,3362,200,0,0,16,3360,0,8.00
AP16POA4,01/11/2016,14:00:00,16:00:00,4510,200,0,0,17,4503,0,8.50
AP16POA4,01/11/2016,16:00:00,18:00:00,4084,200,0,0,16,4075,0,8.00
AP16POA4,01/11/2016,18:00:00,20:00:00,989,200,0,0,13,988,0,6.50
AP16POA4,01/11/2016,20:00:00,22:00:00,185,200,0,0,16,185,0,8.00
BP15PAAA,01/11/2016,06:00:00,08:00:00,13843,100,0,0,13,13825,0,13.00
BP15PAAA,01/11/2016,08:00:00,10:00:00,136542,100,0,0,25,136355,0,25.00
BP15PAAA,01/11/2016,10:00:00,12:00:00,229010,100,0,0,20,228687,0,20.00
BP15PAAA,01/11/2016,12:00:00,14:00:00,183605,100,0,0,19,183342,0,19.00
BP15PAAA,01/11/2016,14:00:00,16:00:00,224854,100,0,0,21,224528,0,21.00
BP15PAAA,01/11/2016,16:00:00,18:00:00,198227,100,0,0,20,197958,0,20.00
BP15PAAA,01/11/2016,18:00:00,20:00:00,121121,100,0,0,16,120926,0,16.00
BP15PAAA,01/11/2016,20:00:00,22:00:00,95392,100,0,0,16,95258,0,16.00
BP15PAAE,01/11/2016,06:00:00,08:00:00,14027,100,0,0,13,14003,0,13.00
BP15PAAE,01/11/2016,08:00:00,10:00:00,136892,100,0,0,18,136684,0,18.00
BP15PAAE,01/11/2016,10:00:00,12:00:00,230302,100,0,0,19,229966,0,19.00
BP15PAAE,01/11/2016,12:00:00,14:00:00,183318,100,0,0,21,183035,0,21.00
BP15PAAE,01/11/2016,14:00:00,16:00:00,224911,100,0,0,23,224593,0,23.00
BP15PAAE,01/11/2016,16:00:00,18:00:00,197706,100,0,0,24,197420,0,24.00
BP15PAAE,01/11/2016,18:00:00,20:00:00,121014,100,0,0,21,120839,0,21.00
BP15PAAE,01/11/2016,20:00:00,22:00:00,93958,100,0,0,20,93799,0,20.00
BP15PAA1,01/11/2016,06:00:00,08:00:00,14113,100,0,0,12,14092,0,12.00
BP15PAA1,01/11/2016,08:00:00,10:00:00,136304,100,0,0,17,136090,0,17.00
BP15PAA1,01/11/2016,10:00:00,12:00:00,230543,100,0,0,19,230196,0,19.00
BP15PAA1,01/11/2016,12:00:00,14:00:00,183202,100,0,0,21,182940,0,21.00
BP15PAA1,01/11/2016,14:00:00,16:00:00,224158,100,0,0,18,223844,0,18.00
BP15PAA1,01/11/2016,16:00:00,18:00:00,198591,100,0,0,20,198261,0,20.00
BP15PAA1,01/11/2016,18:00:00,20:00:00,120488,100,0,0,18,120301,0,18.00
BP15PAA1,01/11/2016,20:00:00,22:00:00,94684,100,0,0,18,94548,0,18.00
BP15PAA5,01/11/2016,06:00:00,08:00:00,13685,100,0,0,13,13668,0,13.00
BP15PAA5,01/11/2016,08:00:00,10:00:00,136709,100,0,0,16,136521,0,16.00
BP15PAA5,01/11/2016,10:00:00,12:00:00,229754,100,0,0,30,229382,0,30.00
BP15PAA5,01/11/2016,12:00:00,14:00:00,182853,100,0,0,20,182581,0,20.00
BP15PAA5,01/11/2016,14:00:00,16:00:00,223908,100,0,0,22,223572,0,22.00
BP15PAA5,01/11/2016,16:00:00,18:00:00,198016,100,0,0,20,197700,0,20.00
BP15PAA5,01/11/2016,18:00:00,20:00:00,121426,100,0,0,18,121234,0,18.00
BP15PAA5,01/11/2016,20:00:00,22:00:00,94051,100,0,0,17,93917,0,17.00
BP16PAAB,01/11/2016,06:00:00,08:00:00,13818,100,0,0,12,13801,0,12.00
BP16PAAB,01/11/2016,08:00:00,10:00:00,136730,100,0,0,17,136527,0,17.00
BP16PAAB,01/11/2016,10:00:00,12:00:00,229249,100,0,0,19,228911,0,19.00
BP16PAAB,01/11/2016,12:00:00,14:00:00,183343,100,0,0,17,183050,0,17.00
BP16PAAB,01/11/2016,14:00:00,16:00:00,222630,100,0,0,25,222291,0,25.00
BP16PAAB,01/11/2016,16:00:00,18:00:00,197662,100,0,0,17,197365,0,17.00
BP16PAAB,01/11/2016,18:00:00,20:00:00,121286,100,0,0,18,121112,0,18.00
BP16PAAB,01/11/2016,20:00:00,22:00:00,94027,100,0,0,17,93867,0,17.00
BP16PAAF,01/11/2016,06:00:00,08:00:00,14181,100,0,0,13,14162,0,13.00
BP16PAAF,01/11/2016,08:00:00,10:00:00,135997,100,0,0,19,135779,0,19.00
BP16PAAF,01/11/2016,10:00:00,12:00:00,230904,100,0,0,25,230588,0,25.00
BP16PAAF,01/11/2016,12:00:00,14:00:00,182057,100,0,0,25,181787,0,25.00
BP16PAAF,01/11/2016,14:00:00,16:00:00,222845,100,0,0,23,222511,0,23.00
BP16PAAF,01/11/2016,16:00:00,18:00:00,198643,100,0,0,22,198349,0,22.00
BP16PAAF,01/11/2016,18:00:00,20:00:00,120388,100,0,0,20,120216,0,20.00
BP16PAAF,01/11/2016,20:00:00,22:00:00,95109,100,0,0,16,94968,0,16.00
BP16PAA2,01/11/2016,06:00:00,08:00:00,13941,100,0,0,12,13918,0,12.00
BP16PAA2,01/11/2016,08:00:00,10:00:00,136804,100,0,0,17,136602,0,17.00
BP16PAA2,01/11/2016,10:00:00,12:00:00,229969,100,0,0,21,229635,0,21.00
BP16PAA2,01/11/2016,12:00:00,14:00:00,181852,100,0,0,20,181590,0,20.00
BP16PAA2,01/11/2016,14:00:00,16:00:00,222456,100,0,0,20,222110,0,20.00
BP16PAA2,01/11/2016,16:00:00,18:00:00,199257,100,0,0,21,198975,0,21.00
BP16PAA2,01/11/2016,18:00:00,20:00:00,120766,100,0,0,16,120589,0,16.00
BP16PAA2,01/11/2016,20:00:00,22:00:00,94387,100,0,0,16,94239,0,16.00
BP16PAA6,01/11/2016,06:00:00,08:00:00,13690,100,0,0,12,13674,0,12.00
BP16PAA6,01/11/2016,08:00:00,10:00:00,136924,100,0,0,16,136719,0,16.00
BP16PAA6,01/11/2016,10:00:00,12:00:00,229129,100,0,0,21,228825,0,21.00
